ID,TEMP,HUM_AIRE,HUM_SUELO_1,HUM_SUELO_2,LUZ,GAS,RIEGO_1,RIEGO_2
1,28,55,40,50,400,120,1,0
2,32,60,42,48,600,140,0,1
3,25,58,41,52,350,110,0,0
4,35,63,39,47,700,160,1,0
5,30,61,45,53,300,100,1,0
6,31,59,44,49,650,150,0,1
7,27,62,43,54,450,130,0,0
8,29,64,48,46,500,125,1,1
9,34,60,47,55,750,170,1,0
10,26,57,46,45,250,95,0,0
11,33,65,50,56,800,180,0,0
12,30,66,49,44,420,135,1,1
13,28,62,45,57,410,128,1,0
14,36,61,44,43,390,122,0,1
15,25,68,43,58,900,190,0,0
16,29,64,42,42,300,90,1,0
17,31,63,41,59,280,115,1,0
18,27,70,40,41,760,175,0,1
19,32,67,39,60,440,138,0,0
20,24,66,38,40,430,132,1,1
21,30,65,37,55,850,185,1,0
22,35,60,36,45,260,88,0,0
23,28,59,40,54,520,145,0,0
24,26,58,41,46,610,155,1,1
25,33,62,42,53,330,105,1,0
26,29,64,43,47,690,165,0,1
27,25,69,44,52,470,118,0,0
28,34,65,45,48,560,158,1,0
29,27,63,46,51,390,112,1,0
30,31,67,47,49,720,172,0,1
$
